"","Year","delta_Total","delta_Gas","delta_Liquids","delta_Solids","delta_CementProduction","delta_GasFlaring","delta_PerCapita"
"156",1907,2566.66666666667,2566.66666666667,2566.66666666667,2566.66666666667,2566.66666666667,2566.66666666667,2566.66666666667
"157",1908,-1133.33333333333,-1133.33333333333,-1133.33333333333,-1133.33333333333,-1133.33333333333,-1133.33333333333,-1133.33333333333
"158",1909,1166.66666666667,1166.66666666667,1166.66666666667,1166.66666666667,1166.66666666667,1166.66666666667,1166.66666666667
"159",1910,1133.33333333333,1133.33333333333,1133.33333333333,1133.33333333333,1133.33333333333,1133.33333333333,1133.33333333333
"160",1911,566.666666666667,566.666666666667,566.666666666667,566.666666666667,566.666666666667,566.666666666667,566.666666666667
"161",1912,1433.33333333333,1433.33333333333,1433.33333333333,1433.33333333333,1433.33333333333,1433.33333333333,1433.33333333333
"162",1913,2133.33333333333,2133.33333333333,2133.33333333333,2133.33333333333,2133.33333333333,2133.33333333333,2133.33333333333
"163",1914,-3100,-3100,-3100,-3100,-3100,-3100,-3100
"164",1915,-400,-400,-400,-400,-400,-400,-400
"165",1916,2100,2100,2100,2100,2100,2100,2100
"166",1917,1800,1800,1800,1800,1800,1800,1800
"167",1918,-633.333333333333,-633.333333333333,-633.333333333333,-633.333333333333,-633.333333333333,-633.333333333333,-633.333333333333
"168",1919,-4333.33333333333,-4333.33333333333,-4333.33333333333,-4333.33333333333,-4333.33333333333,-4333.33333333333,-4333.33333333333
"169",1920,4200,4200,4200,4200,4200,4200,4200
"170",1921,-4300,-4300,-4300,-4300,-4300,-4300,-4300
"171",1922,1400,1400,1400,1400,1400,1400,1400
"172",1923,4166.66666666667,4166.66666666667,4166.66666666667,4166.66666666667,4166.66666666667,4166.66666666667,4166.66666666667
"173",1924,-233.333333333333,-233.333333333333,-233.333333333333,-233.333333333333,-233.333333333333,-233.333333333333,-233.333333333333
"174",1925,400,400,400,400,400,400,400
"175",1926,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667
"176",1927,2633.33333333333,2633.33333333333,2633.33333333333,2633.33333333333,2633.33333333333,2633.33333333333,2633.33333333333
"177",1928,100,100,100,100,100,100,100
"178",1929,2666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667
"179",1930,-3066.66666666667,-3066.66666666667,-3066.66666666667,-3066.66666666667,-3066.66666666667,-3066.66666666667,-3066.66666666667
"180",1931,-3766.66666666667,-3766.66666666667,-3766.66666666667,-3766.66666666667,-3766.66666666667,-3766.66666666667,-3766.66666666667
"181",1932,-3100,-3100,-3100,-3100,-3100,-3100,-3100
"182",1933,1533.33333333333,1533.33333333333,1533.33333333333,1533.33333333333,1533.33333333333,1533.33333333333,1533.33333333333
"183",1934,2666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667
"184",1935,1800,1800,1800,1800,1800,1800,1800
"185",1936,3433.33333333333,3433.33333333333,3433.33333333333,3433.33333333333,3433.33333333333,3433.33333333333,3433.33333333333
"186",1937,2633.33333333333,2633.33333333333,2633.33333333333,2633.33333333333,2633.33333333333,2633.33333333333,2633.33333333333
"187",1938,-2233.33333333333,-2233.33333333333,-2233.33333333333,-2233.33333333333,-2233.33333333333,-2233.33333333333,-2233.33333333333
"188",1939,1666.66666666667,1666.66666666667,1666.66666666667,1666.66666666667,1666.66666666667,1666.66666666667,1666.66666666667
"189",1940,3566.66666666667,3566.66666666667,3566.66666666667,3566.66666666667,3566.66666666667,3566.66666666667,3566.66666666667
"190",1941,1166.66666666667,1166.66666666667,1166.66666666667,1166.66666666667,1166.66666666667,1166.66666666667,1166.66666666667
"191",1942,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667,266.666666666667
"192",1943,1633.33333333333,1633.33333333333,1633.33333333333,1633.33333333333,1633.33333333333,1633.33333333333,1633.33333333333
"193",1944,-266.666666666667,-266.666666666667,-266.666666666667,-266.666666666667,-266.666666666667,-266.666666666667,-266.666666666667
"194",1945,-7433.33333333333,-7433.33333333333,-7433.33333333333,-7433.33333333333,-7433.33333333333,-7433.33333333333,-7433.33333333333
"195",1946,2600,2600,2600,2600,2600,2600,2600
"196",1947,5133.33333333333,5133.33333333333,5133.33333333333,5133.33333333333,5133.33333333333,5133.33333333333,5133.33333333333
"197",1948,2566.66666666667,2566.66666666667,2566.66666666667,2566.66666666667,2566.66666666667,2566.66666666667,2566.66666666667
"198",1949,-1666.66666666667,-1666.66666666667,-1666.66666666667,-1666.66666666667,-1666.66666666667,-1666.66666666667,-1666.66666666667
"199",1950,7033.33333333333,7033.33333333333,7033.33333333333,7033.33333333333,7033.33333333333,7033.33333333333,7033.33333333333
"200",1951,4566.66666666667,4566.66666666667,4566.66666666667,4566.66666666667,4566.66666666667,4566.66666666667,4566.66666666667
"201",1952,933.333333333333,933.333333333333,933.333333333333,933.333333333333,933.333333333333,933.333333333333,933.333333333333
"202",1953,1533.33333333333,1533.33333333333,1533.33333333333,1533.33333333333,1533.33333333333,1533.33333333333,1533.33333333333
"203",1954,800,800,800,800,800,800,800
"204",1955,5900,5900,5900,5900,5900,5900,5900
"205",1956,4500,4500,4500,4500,4500,4500,4500
"206",1957,3100,3100,3100,3100,3100,3100,3100
"207",1958,2000,2000,2000,2000,2000,2000,2000
"208",1959,4133.33333333333,4133.33333333333,4133.33333333333,4133.33333333333,4133.33333333333,4133.33333333333,4133.33333333333
"209",1960,3833.33333333333,3833.33333333333,3833.33333333333,3833.33333333333,3833.33333333333,3833.33333333333,3833.33333333333
"210",1961,366.666666666667,366.666666666667,366.666666666667,366.666666666667,366.666666666667,366.666666666667,366.666666666667
"211",1962,3533.33333333333,3533.33333333333,3533.33333333333,3533.33333333333,3533.33333333333,3533.33333333333,3533.33333333333
"212",1963,4900,4900,4900,4900,4900,4900,4900
"213",1964,5400,5400,5400,5400,5400,5400,5400
"214",1965,4500,4500,4500,4500,4500,4500,4500
"215",1966,5266.66666666667,5266.66666666667,5266.66666666667,5266.66666666667,5266.66666666667,5266.66666666667,5266.66666666667
"216",1967,3500,3500,3500,3500,3500,3500,3500
"217",1968,5766.66666666667,5766.66666666667,5766.66666666667,5766.66666666667,5766.66666666667,5766.66666666667,5766.66666666667
"218",1969,7133.33333333333,7133.33333333333,7133.33333333333,7133.33333333333,7133.33333333333,7133.33333333333,7133.33333333333
"219",1970,9100,9100,9100,9100,9100,9100,9100
"220",1971,5166.66666666667,5166.66666666667,5166.66666666667,5166.66666666667,5166.66666666667,5166.66666666667,5166.66666666667
"221",1972,5600,5600,5600,5600,5600,5600,5600
